Timestamp,Quat.X,Quat.Y,Quat.Z,Quat.W,MagHeading,TrueHeading,HeadingAccuracy,Altitude
0.201078,-0.021601,-0.628684,-0.002204,0.777357,212.59082,201.755997,45,56.204922
0.211058,-0.022347,-0.628873,-0.003274,0.77718,212.59082,201.755997,45,56.204922
0.221067,-0.022922,-0.629387,-0.004164,0.776743,212.59082,201.755997,45,56.204922
0.231048,-0.023218,-0.630144,-0.00484,0.776116,213.26944,202.434616,30,56.204922
0.241038,-0.023176,-0.630837,-0.005277,0.775551,213.26944,202.434616,30,56.204922
0.251056,-0.022808,-0.631284,-0.005486,0.775197,213.250839,202.416016,30,56.204922
0.261127,-0.022176,-0.631559,-0.005495,0.774991,213.250839,202.416016,30,56.204922
0.27106,-0.02138,-0.631792,-0.00535,0.774824,213.250839,202.416016,30,56.204922
0.280491,-0.020522,-0.632062,-0.00509,0.774629,213.155243,202.320419,30,56.204922
0.290602,-0.019687,-0.63235,-0.004719,0.774418,213.155243,202.320419,30,56.204922
0.301089,-0.018812,-0.632596,-0.004333,0.774241,212.982407,202.147583,30,56.204922
0.311082,-0.01796,-0.632991,-0.003955,0.77394,212.982407,202.147583,30,56.204922
0.321094,-0.017412,-0.633635,-0.003572,0.773428,212.982407,202.147583,30,56.204922
0.331105,-0.017031,-0.634181,-0.003197,0.772991,212.826401,201.991577,30,56.204922
0.341086,-0.021032,-0.642126,0.000581,0.76631,212.826401,201.991577,30,56.204922
0.35108,-0.021268,-0.645203,0.001511,0.763714,212.67514,201.840317,25,56.204922
0.361108,-0.020376,-0.64628,0.001799,0.762826,212.67514,201.840317,25,56.204922
0.371079,-0.019061,-0.646567,0.001877,0.762617,212.67514,201.840317,25,56.204922
0.381116,-0.017857,-0.646978,0.001987,0.762297,212.679184,201.84436,20,56.204922
0.391085,-0.01727,-0.64765,0.00247,0.761738,212.679184,201.84436,20,56.204922
0.400149,-0.015973,-0.647573,0.002254,0.761832,212.679184,201.84436,20,56.204922
0.411154,-0.014362,-0.646609,0.001753,0.762684,213.015198,202.180374,20,56.204922
0.421116,-0.014119,-0.646162,0.002369,0.763065,213.015198,202.180374,20,56.204922
0.43116,-0.014186,-0.645682,0.003201,0.763468,213.015198,202.180374,20,56.204922
0.441104,-0.014224,-0.645375,0.003941,0.763723,213.033386,202.198563,20,56.204922
0.451197,-0.013587,-0.645394,0.004055,0.763718,213.048523,202.213699,20,56.204922
0.461081,-0.012728,-0.645599,0.003912,0.76356,213.048523,202.213699,20,56.204922
0.470591,-0.012152,-0.645673,0.0039,0.763507,213.048523,202.213699,20,56.204922
0.481713,-0.011659,-0.645444,0.003818,0.763709,213.077469,202.242645,20,56.204922
0.490372,-0.011478,-0.645128,0.003971,0.763978,213.077469,202.242645,20,56.204922
