Timestamp,Quat.X,Quat.Y,Quat.Z,Quat.W,MagHeading,TrueHeading,HeadingAccuracy,Altitude
0.201125,-0.042481,-0.003464,-0.000147,0.999091,323.121582,312.286774,40,68.429398
0.211055,-0.042049,-0.003128,-0.000147,0.999111,323.121582,312.286774,40,68.429398
0.220729,-0.041676,-0.00296,-0.000171,0.999127,323.121674,312.286865,40,68.429398
0.230982,-0.041393,-0.002964,-0.000217,0.999139,323.121674,312.286865,40,68.429398
0.241047,-0.041197,-0.003009,-0.000251,0.999147,323.121674,312.286865,40,68.429398
0.251047,-0.041086,-0.003024,-0.000261,0.999151,323.132294,312.297485,40,68.429398
0.261047,-0.040998,-0.002896,-0.000223,0.999155,323.132294,312.297485,40,68.429398
0.27075,-0.040889,-0.002648,-0.00008,0.99916,323.107758,312.272949,40,68.429398
0.281058,-0.040814,-0.002425,0.000174,0.999164,323.107758,312.272949,40,68.429398
0.291044,-0.040754,-0.002279,0.000501,0.999166,323.107758,312.272949,40,68.429398
0.301051,-0.040671,-0.002139,0.000816,0.99917,323.019348,312.18454,40,68.429398
0.311052,-0.04051,-0.001962,0.001078,0.999177,323.019348,312.18454,40,68.429398
0.321066,-0.040284,-0.001819,0.001264,0.999186,323.019348,312.18454,40,68.429398
0.331073,-0.040041,-0.001663,0.001399,0.999196,322.950623,312.115814,40,68.429398
0.341061,-0.039849,-0.001502,0.001503,0.999204,322.950623,312.115814,40,68.429398
0.351071,-0.0397,-0.001348,0.001637,0.999209,322.919922,312.085114,40,68.429398
0.361077,-0.038196,0.002722,0.001971,0.999265,322.919922,312.085114,40,68.429398
0.370754,-0.038597,0.002644,0.002191,0.999249,322.919922,312.085114,40,68.429398
0.38114,-0.0396,0.001192,0.002408,0.999212,322.862183,312.027374,40,68.429398
0.39107,-0.040687,-0.000185,0.002668,0.999168,322.862183,312.027374,40,68.429398
0.401266,-0.041261,-0.000726,0.002962,0.999144,322.797516,311.962708,35,68.429398
0.411074,-0.041174,-0.000916,0.003262,0.999146,322.797516,311.962708,35,68.429398
0.420656,-0.040996,-0.000882,0.003551,0.999153,322.797516,311.962708,35,68.429398
0.431068,-0.040582,-0.000589,0.003836,0.999169,322.715057,311.880249,35,68.429398
